gap_id,category,severity,reason,dependency,estimated_computational_burden,estimated_scientific_value,minimum_acceptable_resolution,risk_if_omitted
GAP-001,Mandatory publication blocker,CRITICAL,"Principal reliability-aware contribution has no controlled effectiveness evidence","Dormancy re-entry; frozen Phase 2 protocol",High,Very high,"Fixed/global/unconditioned/sample-dependent fusion ablation on identical splits and seeds","Core contribution cannot be claimed"
GAP-002,Mandatory publication blocker,CRITICAL,"Official dataset archive lineage conflicts","External access to authoritative archives or equivalent evidence",Network/storage intensive,Very high,"Resolve PMPS-01 through verified official acquisition and documented comparison","Dataset identity claim remains contradicted and research stays frozen"
GAP-003,Mandatory publication blocker,CRITICAL,"No protected test result exists","Contribution and model-selection protocol frozen first",Moderate,Very high,"Single-use evaluation on id_06 after all choices and threshold are frozen","No unbiased final performance estimate"
GAP-004,Mandatory publication blocker,HIGH,"Current model underfits and validation ROC-AUC is only 0.6003","Authorized controlled model-development protocol",High,Very high,"Predefined success/failure threshold met without test peeking","Weak scientific result"
GAP-005,Mandatory publication blocker,HIGH,"Publication-grade classical and neural baselines absent","Frozen preprocessing splits and compute budget",High,Very high,"Matched baselines with identical data and evaluation","No comparative claim"
GAP-006,Mandatory publication blocker,HIGH,"Multi-seed evidence absent","Final candidate and baseline protocols",Very high,Very high,"At least three prespecified seeds per principal comparison","No stability or variance claim"
GAP-007,Mandatory publication blocker,HIGH,"Paired uncertainty and significance analysis absent","Paired prediction exports from required runs",Moderate,Very high,"Effect sizes confidence intervals paired tests and multiplicity policy","No statistical credibility"
GAP-008,Mandatory publication blocker,HIGH,"Training provenance is incomplete and worktree was dirty","Phase 2 reproducibility freeze",Low,High,"Immutable commit/config/command/environment/seed and artifact registry before runs","Independent reproduction is not defensible"
GAP-009,Mandatory publication blocker,HIGH,"No complete manuscript tied to frozen evidence","All required results complete",Moderate,High,"IEEE-format draft whose every empirical claim maps to frozen artifacts","Submission package incomplete"
GAP-010,High-value improvement,MEDIUM,"Calibration quality is not established","Final candidate predictions",Low,High,"Brier score ECE reliability plot and calibration-split discipline","Avoid claim or disclose limitation"
GAP-011,High-value improvement,MEDIUM,"Noise/machine subgroup robustness is incomplete","Multi-seed final predictions",Moderate,High,"Prespecified per-machine and per-noise estimates with uncertainty","Overgeneralisation risk"
GAP-012,High-value improvement,MEDIUM,"No error taxonomy or failure analysis","Final validation/test predictions",Low,Medium,"Representative false-positive/false-negative analysis without test-driven tuning","Weak discussion and reviewer confidence"
GAP-013,High-value improvement,MEDIUM,"Computational cost not benchmarked","Frozen implementation and target hardware",Low,Medium,"Parameters FLOPs latency throughput and memory under stated hardware","Practicality claim unsupported"
GAP-014,Optional improvement,LOW,"Edge deployment is unvalidated","Scientifically validated model and physical target",Moderate,Medium,"Measured target-hardware demonstration if claimed","Omit deployment claim"
GAP-015,Optional improvement,LOW,"Governance dashboard/UI not required for paper","None",Moderate,Low,"Exclude from critical path","No scientific consequence"
