claim_id,claim,source,claim_type,required_evidence,available_evidence,evidence_path,evidence_quality,contradiction_found,current_decision
CLM-001,CHAAD is a hybrid industrial acoustic anomaly-detection framework,docs/PROJECT_CONTEXT.md,system identity,"implementation of multiple branches and executable construction","CNN/Transformer/AE/contrastive code imports and checkpoint exists","models/hybrid_model.py; training/loss.py; artifacts/EXP-CHAAD-001/checkpoint.pt",moderate,no,SUPPORTED
CLM-002,The method supports machine-independent evaluation,docs/DATASET_AND_SPLITS.md,evaluation protocol,"disjoint machine IDs enforced by manifest and consumers","manifest counts and split audit show train id_04 val id_00/id_02 test id_06","metadata/dataset_manifest.csv; artifacts/research_audit/machine_split_table.csv",high,no,SUPPORTED
CLM-003,Reliability-aware fusion improves anomaly detection,docs/PROJECT_CONTEXT.md,principal effectiveness,"controlled fixed/global/sample-dependent fusion comparison","implementation exists; no qualifying comparison outputs","models/reliability.py",low,no,NOT YET TESTED
CLM-004,Sample-dependent fusion outperforms fixed fusion,docs/PROJECT_CONTEXT.md,comparative performance,"paired multi-seed ablation on frozen protocol","none",,none,no,NOT YET TESTED
CLM-005,Machine and noise conditioning improves performance,docs/NOVELTY_AND_CONTRIBUTIONS.md,mechanism effectiveness,"conditioned versus unconditioned ablation","none",,none,no,NOT YET TESTED
CLM-006,The hybrid architecture outperforms its individual branches,docs/NOVELTY_AND_CONTRIBUTIONS.md,ablation,"branch-isolation experiments","none",,none,no,NOT YET TESTED
CLM-007,The system generalises across machine IDs,docs/PROJECT_CONTEXT.md,generalisation,"performance on machines excluded from training plus final protected test","validation uses unseen IDs but performance is weak; protected test untouched","artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv",moderate,weak ROC-AUC limits claim,PARTIALLY SUPPORTED
CLM-008,The system is robust across noise conditions,docs/PROJECT_CONTEXT.md,robustness,"per-noise results and perturbation tests across seeds","historical subgroup tables exist but no final robustness protocol","reports/per_noise_condition_results.csv",low,stale/provisional artifacts,NOT YET TESTED
CLM-009,CHAAD outperforms classical baselines,docs/BASELINE_DIAGNOSTIC_REPORT.md,comparative performance,"publication-grade matched baselines and paired statistics","small diagnostic baselines only; protocol incomplete","artifacts/baselines/diagnostic_baselines.json",low,report/JSON discrepancies,PARTIALLY SUPPORTED
CLM-010,CHAAD outperforms neural baselines,docs/NOVELTY_AND_CONTRIBUTIONS.md,comparative performance,"matched neural baseline experiments","runner exists; no output",scripts/run_baselines.py,none,no,NOT YET TESTED
CLM-011,Improvements are stable across seeds,docs/REPRODUCIBILITY.md,reproducibility,"at least three independently executed seeds","one run only",artifacts/EXP-CHAAD-001/,low,no,NOT YET TESTED
CLM-012,Improvements are statistically significant,docs/NOVELTY_AND_CONTRIBUTIONS.md,statistics,"paired predictions; CIs; corrected hypothesis tests","analysis script only",scripts/statistical_validation.py,none,no,NOT YET TESTED
CLM-013,The model is well calibrated,docs/CALIBRATION_PROTOCOL.md,calibration quality,"reliability diagram; ECE/Brier; held-out calibration assessment","calibration procedure exists; no adequate calibration-quality result","checkpoints/calibration_report.json; artifacts/calibration_metadata.json",low,no,UNSUPPORTED
CLM-014,The method is computationally practical,docs/PROJECT_CONTEXT.md,efficiency,"parameter count; latency; throughput; memory; comparator costs","no frozen benchmark result",,none,no,NOT YET TESTED
CLM-015,The experiment is reproducible,docs/REPRODUCIBILITY.md,reproducibility,"clean immutable code/config/environment plus independent reproduction","seed and manifest are known; dirty patch exact command hardware and lock missing; no rerun","artifacts/EXP-CHAAD-001/provenance.json",moderate,no,PARTIALLY SUPPORTED
CLM-016,The local dataset is cryptographically equivalent to the official MIMII release,research_validation/provenance,provenance,"all official archives verified or fresh file-level equivalence","eight local archives match official MD5; one mismatches; three containers missing; no fresh reference corpus","research_validation/provenance/ARCHIVE_MD5_COMPARISON.csv",high,yes,CONTRADICTED
CLM-017,No leakage was detected within the documented audit scope,docs/DATA_LEAKAGE_AUDIT.md,research integrity,"split isolation duplicate and shortcut audits","machine IDs disjoint; no cross-split SHA duplicates; calibration/threshold boundaries documented","artifacts/research_audit/",high,no,SUPPORTED
CLM-018,The system is ready for deployment,docs/PROJECT_CONTEXT.md,deployment,"validated performance robustness export and target hardware tests","deployment code exists but scientific performance and hardware validation are absent","edge_deploy/; inference/production_detector.py",low,no,UNSUPPORTED
CLM-019,The method is a novel IEEE-level contribution,docs/NOVELTY_AND_CONTRIBUTIONS.md,novelty,"current literature comparison plus controlled effectiveness evidence","mechanism implemented but no literature adjudication or contribution experiment","models/reliability.py",low,no,UNSUPPORTED
CLM-020,Historical near-perfect performance is valid,docs/CURRENT_EXPERIMENT_AUDIT.md,historical result,"identity-correct predictions under current machine-independent protocol","lower-level corrected validation predictions yield ROC-AUC 0.6002609445","artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv",high,yes,CONTRADICTED
